SIK_INVNR;KAT_NR;KUENSTLERIN;TITEL;DATIERUNG;TECHNIK;MASSE;STANDORT;ORT;STANDORT_URL;FILENAME;REPRO_NACHWEIS;JAHR;TECHNIKTHESAURUS;COPYRIGHT;SIKART_URL;FARBEN
93809.05/08;22.05;Eva Aeppli;Le Strip-Tease;1957;Kohle auf Papier;114 x 42 cm;Moderna Museet, Stockholm, MOMB 185: E, seit 1993;Stockholm;www.modernamuseet.se/;93809D5;Foto: Moderna Museet, Stockholm;1957;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12901654;'333333','666633','663333','666666','999966','996666','CC9999','CCCC99','999999','333300'
93809.06/08;22.06;Eva Aeppli;Le Strip-Tease;1957;Kohle auf Papier;114 x 42 cm;Moderna Museet, Stockholm, MOMB 185: F, seit 1993;Stockholm;www.modernamuseet.se/;93809D6;Foto: Moderna Museet, Stockholm;1957;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12901656;'333333','666633','666666','663333','999966','996666','333300','CC9999','000000','999999'
93809.07/08;22.07;Eva Aeppli;Le Strip-Tease;1957;Kohle auf Papier;114 x 42 cm;Moderna Museet, Stockholm, MOMB 185: G, seit 1993;Stockholm;www.modernamuseet.se/;93809D7;Foto: Moderna Museet, Stockholm;1957;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12901657;'333333','663333','666633','666666','996666','999966','CCCC99','999999','CC9999','333300'
93809.08/08;22.08;Eva Aeppli;Le Strip-Tease;1957;Kohle auf Papier;114 x 42 cm;Moderna Museet, Stockholm, MOMB 185: H, seit 1993;Stockholm;www.modernamuseet.se/;93809D8;Foto: Moderna Museet, Stockholm;1957;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12901658;'333333','666633','663333','666666','996666','999966','999999','333300','CC9999','CCCC99'
93810;23;Eva Aeppli;Epine I;1957;Kohle auf Papier;121 x 62 cm;Werk zerstört;;;93810SC1;Foto: Hansjörg Stoecklin, Arisdorf;1957;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12767853;'333333','000000','FFFFFF','666666','CCCCCC','999999'
93811;24;Eva Aeppli;Fleurs noires;1957;Kohle auf Papier;114 x 55 cm;Privatbesitz (USA);;;93811SC1;Foto: Hansjörg Stoecklin, Arisdorf;1957;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12767857;'333333','000000','666666','FFFFFF','999999','CCCCCC'
93812;25;Eva Aeppli;Noir;1957;Kohle auf Papier;125 x 98 cm;Privatbesitz (F);;;93812SC1;Foto: Hansjörg Stoecklin, Arisdorf;1957;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12767861;'333333','666666','999999','000000','CCCCCC','FFFFFF'
93813;26;Eva Aeppli;Narcisses IV;1957;Kohle auf Papier;105 x 53 cm;Werk zerstört;;;93813SC1;Foto: Hansjörg Stoecklin, Arisdorf;1957;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12767864;'333333','000000','666666','999999','FFFFFF','CCCCCC'
93814;28;Eva Aeppli;Novembre II;9.1957;Kohle auf Papier;105 x 105 cm;Werk zerstört;;;93814SC1;Foto: Hansjörg Stoecklin, Arisdorf;1957;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12767868;'333333','000000','666666','FFFFFF','CCCCCC','999999'
93815;27;Eva Aeppli;Novembre I;1957;Kohle auf Papier;90 x 47 cm;Werk zerstört;;;93815SC1;Foto: Hansjörg Stoecklin, Arisdorf;1957;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12767873;'333333','666666','000000','FFFFFF','999999','CCCCCC'
94295;105;Eva Aeppli;Ohne Titel;1960;Öl auf Leinwand;Masse unbekannt;Werk zerstört;;;94295DS1;Foto: SIK-ISEA, Zürich;1960;Ölmalerei;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12856992;'333333','666666','999999','CCCCCC','666633','663333','333300','000000','999966','996666'
94296;103;Eva Aeppli;Joséphine I;1960;Öl auf Leinwand;129 x 162 cm;Moderna Museet, Stockholm, MOM 600, seit 1993;Stockholm;www.modernamuseet.se/;94296D1;Foto: Moderna Museet, Stockholm;1960;Ölmalerei;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12773052;'333333','000000','663333','330000','666666','000033','996666','330033','663366','999999'
94297;106;Eva Aeppli;Ohne Titel;1960;Öl auf Leinwand;Masse unbekannt;Werk zerstört;;;94297DS1;Foto: SIK-ISEA, Zürich;1960;Ölmalerei;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12773103;'333333','CCCCCC','666666','999999','663333','666633','996666','999966','CC9999','CC99CC'
94298;107;Eva Aeppli;Les Chanteurs;1960;Öl auf Leinwand;130 x 195 cm;Garden of the Zodiac Old Market Omaha, seit 1999;Omaha;;94298D1;Foto: Antonio Ruffaldi Santori;1960;Ölmalerei;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12773128;'666666','333333','CCCCCC','336666','999999','FFFFCC','333366','FFFFFF','669999','666699'
94299;108;Eva Aeppli;Nuages;1960;Öl auf Leinwand;120 x 195 cm;Moderna Museet, Stockholm, MOM 742, seit 1994;Stockholm;www.modernamuseet.se/;94299SF1;Foto: Christian Baur, Basel;1960;Ölmalerei;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12773147;'333333','000000','666666','999999','CCCCCC','FFFFFF'
94300;109;Eva Aeppli;La Gueule de Bois;1960;Öl auf Leinwand;113 x 145,5 cm;Nationale Suisse, Basel, 807, seit 1985;Basel;www.nationalesuisse.ch/;94300D1;Foto: Christian Baur, Basel;1960;Ölmalerei;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12773165;'333333','000000','666666','999999','003333','333366','000033','336666','CCCCCC','666699'
94301;110;Eva Aeppli;Le Fleuve;1960;Öl auf Leinwand;130 x 195 cm;Werk zerstört;;;94301DS1;Foto: SIK-ISEA, Zürich;1960;Ölmalerei;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12773198;'333333','666666','999999','666633','663333','CCCCCC','999966','996666','CC9999','CCCC99'
94302.02/02;111.02;Eva Aeppli;Tu as gagné;1960;Öl auf Leinwand;115 x 240 cm;Moderna Museet, Stockholm, MOM 746, seit 1994;Stockholm;www.modernamuseet.se/;94302SF1;Foto: Christian Baur, Basel;1960;Ölmalerei;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12862802;'CCCCCC','000000','FFFFFF','333333','999999','666666'
94303;112;Eva Aeppli;Fleuve I;1960;Öl auf Leinwand;115 x 240 cm;Moderna Museet, Stockholm, MOM 744, seit 1994;Stockholm;www.modernamuseet.se/;94303D1;Foto: Moderna Museet, Stockholm;1960;Ölmalerei;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12773229;'666666','CCCCCC','333333','999999','666699','333366','669999','336666','FFFFFF','FFFFCC'
94304;116;Eva Aeppli;Les Scientifiques;1960;Öl auf Leinwand;130 x 162 cm;Moderna Museet, Stockholm, MOM 738, seit 1994;Stockholm;www.modernamuseet.se/;94304SF1;Foto: Christian Baur, Basel;1960;Ölmalerei;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12856956;'000000','333333','FFFFFF','CCCCCC','999999','666666'
94305;113;Eva Aeppli;Fleuve II;1960;Öl auf Leinwand;115 x 240 cm;Moderna Museet, Stockholm, MOM 747, seit 1994;Stockholm;www.modernamuseet.se/;94305D1;Foto: Moderna Museet, Stockholm;1960;Ölmalerei;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12773259;'333333','666666','CCCCCC','999999','333366','FFFFFF','666699','9999CC','336666','000000'
94306;29;Eva Aeppli;Novembre III;9.1957;Kohle auf Papier;92 x 35 cm;Werk zerstört;;;94306SC1;Foto: Hansjörg Stoecklin, Arisdorf;1957;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12773924;'000000','333333','666666','CCCCCC','FFFFFF','999999'
94307;30;Eva Aeppli;Feuilles blanches I;9.1957;Kohle auf Papier;75 x 88 cm;Privatbesitz, seit 1972;;;94307SC1;Foto: Leonardo Bezzola, Bätterkinden;1957;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12773930;'333333','000000','666666','999999','CCCCCC','FFFFFF'
94308;31;Eva Aeppli;Feuilles blanches II;1957-58;Kohle auf Papier;115 x 57 cm;Werk zerstört;;;94308SC1;Foto: Hansjörg Stoecklin, Arisdorf;1957;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12773937;'333333','000000','666666','CCCCCC','999999','FFFFFF'
94309;33;Eva Aeppli;Feuilles blanches III;1957;Kohle auf Papier;72 x 88 cm;Standort unbekannt;;;94309D1;Foto: SIK-ISEA, Zürich;1957;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12773941;'FFFFFF','000000','666666','333333','CCCCCC','999999'
94310;32;Eva Aeppli;Le Violoniste II;12.1957;Kohle auf Papier;75 x 91 cm;Standort unbekannt;;;94310SC1;Foto: Hansjörg Stoecklin, Arisdorf;1957;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12773947;'333333','666666','000000','999999','CCCCCC','FFFFFF'
94311;34;Eva Aeppli;Frühling II;1.1958;Kohle auf Papier;36 x 22 cm;Werk zerstört;;;94311SC1;Foto: Hansjörg Stoecklin, Arisdorf;1958;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12773953;'333333','666666','000000','FFFFFF','999999','CCCCCC'
94312;37;Eva Aeppli;Mimosa I;2.1958;Kohle auf Papier;82 x 76 cm;Standort unbekannt;;;94312SC1;Foto: Hansjörg Stoecklin, Arisdorf;1958;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12773961;'333333','000000','666666','FFFFFF','CCCCCC','999999'
94313;40;Eva Aeppli;Anémone et Narcisse;4.1958;Kohle auf Papier;98 x 42 cm;Werk zerstört;;;94313SC1;Foto: Hansjörg Stoecklin, Arisdorf;1958;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12773968;'333333','000000','CCCCCC','666666','999999','FFFFFF'
94314;38;Eva Aeppli;Jacqueline;3.1958;Kohle auf Papier;Masse unbekannt;Werk zerstört;;;94314SC1;Foto: Hansjörg Stoecklin, Arisdorf;1958;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12773975;'333333','000000','999999','CCCCCC','666666','FFFFFF'
94315;39;Eva Aeppli;Marguerite;3.1958;Kohle auf Papier;Masse unbekannt;Werk zerstört;;;94315SC1;Foto: Hansjörg Stoecklin, Arisdorf;1958;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12773979;'000000','333333','FFFFFF','CCCCCC','666666','999999'
94316;49;Eva Aeppli;Marguerite;1958;Kohle auf Papier;je 34 x 18 cm;Privatbesitz (F), seit 2004;;;94316D1;Foto: Museum Jean Tinguely (Christian Baur);1958;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12773989;'333333','666666','CCCCCC','000000','666633','999966','996666','663333','003333','CCCC99'
94317;43;Eva Aeppli;Après;1958;Kohle auf Papier;32 x 40 cm;Kunstmuseum Solothurn, A 2001.17, seit 2001;Solothurn;www.kunstmuseum-so.ch;94317D1;Foto: Kunstmuseum Solothurn;1958;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12773994;'666666','333333','999999','CCCCCC','999966','CC9999','996666','CCCC99','FFFFFF','000000'
94318;44;Eva Aeppli;Ohne Titel;5.1958;Kohle auf Papier;Masse unbekannt;Werk zerstört;;;94318SC1;Foto: Hansjörg Stoecklin, Arisdorf;1958;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12774006;'333333','000000','666666','CCCCCC','FFFFFF','999999'
94319;41;Eva Aeppli;Anémone IV;4.1958;Kohle auf Papier;63,5 x 71 cm;Kunstmuseum Solothurn, A 2001.16, seit 2001;Solothurn;www.kunstmuseum-so.ch;94319D1;Foto: Kunstmuseum Solothurn;1958;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12774010;'333333','666666','000000','CCCCCC','663333','999999','996666','999966','666633','000033'
94320;42;Eva Aeppli;Ohne Titel;4.1958;Kohle auf Papier;Masse unbekannt;Werk zerstört;;;94320SC1;Foto: Hansjörg Stoecklin, Arisdorf;1958;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12774016;'333333','666666','FFFFFF','999999','CCCCCC','000000'
94321;45;Eva Aeppli;Ohne Titel;5.1958;Kohle auf Papier;Masse unbekannt;Werk zerstört;;;94321SC1;Foto: Hansjörg Stoecklin, Arisdorf;1958;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12774020;'333333','666666','000000','FFFFFF','999999','CCCCCC'
94322;47;Eva Aeppli;Ohne Titel;1958;Kohle auf Papier;Masse unbekannt;Privatbesitz (USA);;;94322SC1;Foto: Hansjörg Stoecklin, Arisdorf;1958;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12774024;'333333','000000','CCCCCC','FFFFFF','666666','999999'
94323;36;Eva Aeppli;Ohne Titel;1958;Kohle auf Papier;Masse unbekannt;Werk zerstört;;;94323SC1;Foto: Hansjörg Stoecklin, Arisdorf;1958;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12774029;'333333','666666','000000','FFFFFF','999999','CCCCCC'
94324;46;Eva Aeppli;Ohne Titel;5.1958;Kohle auf Papier;Masse unbekannt;Werk zerstört;;;94324SC1;Foto: Hansjörg Stoecklin, Arisdorf;1958;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12774033;'333333','666666','000000','FFFFFF','CCCCCC','999999'
94325;51;Eva Aeppli;Fleurs noires I;10.1958;Kohle auf Papier;77 x 46 cm;Werk zerstört;;;94325SC1;Foto: Hansjörg Stoecklin, Arisdorf;1958;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12774037;'333333','000000','666666','FFFFFF','CCCCCC','999999'
94326;53;Eva Aeppli;Tahiti I;10.1958;Kohle auf Papier;112,5 x 46,5 cm;Privatbesitz;;;94326SC1;Foto: Hansjörg Stoecklin, Arisdorf;1958;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12774041;'333333','666666','FFFFFF','CCCCCC','000000','999999'
94327;54;Eva Aeppli;Lis II;10.1958;Kohle auf Papier;110 x 40 cm;Werk zerstört;;;94327SC1;Foto: Hansjörg Stoecklin, Arisdorf;1958;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12774046;'333333','FFFFFF','666666','000000','CCCCCC','999999'
94328;55;Eva Aeppli;Lis VI;10.1958;Kohle auf Papier;83 x 55 cm;Standort unbekannt;;;94328SC1;Foto: Hansjörg Stoecklin, Arisdorf;1958;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12774050;'333333','000000','666666','FFFFFF','CCCCCC','999999'
94329;56;Eva Aeppli;Lis IX;1958;Kohle auf Papier;Masse unbekannt;Privatbesitz (F);;;94329DS1;Foto: SIK-ISEA, Zürich;1958;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12774057;'666666','333333','999999','CCCCCC','999966','996666','666633','663333','CC9999','663366'
94330;57;Eva Aeppli;Lis noir II;10.1958;Kohle auf Papier;113 x 53 cm;Werk zerstört;;;94330SC1;Foto: Hansjörg Stoecklin, Arisdorf;1958;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12774059;'999999','333333','CCCCCC','666666','000000','FFFFFF'
94331;58;Eva Aeppli;Lis blanc et noir;10.1958;Kohle auf Papier;105 x 70 cm;Werk zerstört;;;94331SC1;Foto: Hansjörg Stoecklin, Arisdorf;1958;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12774063;'333333','666666','999999','000000','CCCCCC','FFFFFF'
94332;52;Eva Aeppli;Scorpion II;10.1958;Kohle auf Papier;93 x 47 cm;Garden of the Zodiac Old Market Omaha, seit 1999;Omaha;;94332D1;Foto: Antonio Ruffaldi Santori;1958;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12774067;'999999','333333','666666','999966','666633','CCCC99','000000','CCCCCC','996666','663333'
94333;59;Eva Aeppli;Lis;11.1958;Kohle auf Papier;100 x 58 cm;Privatbesitz (F), seit 2005;;;94333CE1;Foto: Jacques Faujour, Saint-Maur-des-Fossés;1958;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12774072;'666633','999966','333333','996666','996633','333300','666666','663333','CCCC99','CC9999'
94334;17;Eva Aeppli;Résignation;1956;Kohle auf Papier;40 x 58 cm;Standort unbekannt;;;94334D1;Foto: SIK-ISEA, Zürich;1956;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12776762;'FFFFFF','000000','999999','333333','666666','CCCCCC'
94335;35;Eva Aeppli;Le Printemps;1958;Kohle auf Papier;76,5 x 85,5 cm;Privatbesitz, seit 2009;;;94335D1;Foto: Rita Newman, Wien;1958;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12853590;'666666','666633','333333','996666','663333','999966','999999','CCCCCC','CCCC99','CC9999'
94336;114;Eva Aeppli;La Forêt;1960;Öl auf Leinwand;120 x 140 cm;Standort unbekannt;;;94336SF1;Foto: Christian Baur, Basel;1960;Ölmalerei;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12853595;'333333','000000','666666','999999','CCCCCC','FFFFFF'
94337;115;Eva Aeppli;Ohne Titel;1960;Öl auf Leinwand;Masse unbekannt;Standort unbekannt;;;94337DS1;Foto: SIK-ISEA, Zürich;1960;Ölmalerei;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12853600;'333333','666666','CCCCCC','999999','663333','666633','996666','999966','CC9999','CCCC99'
94338;63;Eva Aeppli;Lis I;1959;Kohle auf Papier;Masse unbekannt;Privatbesitz (USA), ab 1960;;;94338DS1;Foto: SIK-ISEA, Zürich;1959;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12854603;'333333','666666','999999','333300','CCCCCC','666633','663333','999966','330000','996666'
94339;65;Eva Aeppli;Le Flutiste;1959;Kohle auf Papier;Masse unbekannt;Standort unbekannt;;;94339SC1;Foto: Hansjörg Stoecklin, Arisdorf;1959;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12854657;'333333','666666','000000','CCCCCC','FFFFFF','999999'
94340;61;Eva Aeppli;La Mariée;1958;Kohle auf Papier;41 x 125 cm;Standort unbekannt;;;94340D1;Foto: SIK-ISEA, Zürich;1958;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12856885;'FFFFFF','000000','666666','333333','CCCCCC','999999'
94341;62;Eva Aeppli;La Joie;1958;Kohle auf Papier;98 x 44 cm;Standort unbekannt;;;94341D1;Foto: SIK-ISEA, Zürich;1958;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12854575;'FFFFFF','000000','666666','333333','CCCCCC','999999'
94342;64;Eva Aeppli;Lis II;1959;Kohle auf Papier;Masse unbekannt;Standort unbekannt;;;94342DS1;Foto: SIK-ISEA, Zürich;1959;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12854665;'333333','666666','999999','CCCCCC','666633','663333','999966','996666','CCCC99','CC9999'
94343;79;Eva Aeppli;Lis des Champs;1959;Kohle auf Papier;67 x 52 cm;Standort unbekannt;;;94343D1;Foto: SIK-ISEA, Zürich;1959;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12854673;'FFFFFF','000000','666666','333333','CCCCCC','999999'
94344;80;Eva Aeppli;Valet I;1959;Kohle auf Papier;140 x 35 cm;Werk zerstört;;;94344D1;Foto: SIK-ISEA, Zürich;1959;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12854678;'FFFFFF','000000','666666','333333','CCCCCC','999999'
94764;68;Eva Aeppli;As;1959;Kohle auf Papier;140 x 35 cm;Werk zerstört;;;94764SC1;Foto: Hansjörg Stoecklin, Arisdorf;1959;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12795151;'333333','666666','999999','FFFFFF','000000','CCCCCC'
94765;69;Eva Aeppli;Dame aux Jasmins;1959;Kohle auf Papier;140 x 35 cm;Standort unbekannt;;;94765SC1;Foto: Hansjörg Stoecklin, Arisdorf;1959;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12795181;'000000','333333','666666','999999','CCCCCC','FFFFFF'
94766;70;Eva Aeppli;Dame I;1959;Kohle auf Papier;140 x 35 cm;Werk zerstört;;;94766SC1;Foto: Hansjörg Stoecklin, Arisdorf;1959;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12795191;'333333','000000','CCCCCC','999999','FFFFFF','666666'
94767;71;Eva Aeppli;Jasmins IV;1959;Kohle auf Papier;97 x 65 cm;Werk zerstört;;;94767SC1;Foto: Hansjörg Stoecklin, Arisdorf;1959;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12795210;'000000','333333','666666','FFFFFF','CCCCCC','999999'
94768;72;Eva Aeppli;Fleurs noires III;6.1959;Kohle auf Papier;97 x 65 cm;Werk zerstört;;;94768SC1;Foto: Hansjörg Stoecklin, Arisdorf;1959;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12795223;'333333','000000','666666','999999','CCCCCC','FFFFFF'
94769;74;Eva Aeppli;Ohne Titel;1959;Kohle auf Papier;101 x 57,5 cm;Privatbesitz;;;94769SC1;Foto: Hansjörg Stoecklin, Arisdorf;1959;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12795228;'333333','666666','000000','999999','CCCCCC','FFFFFF'
94770;75;Eva Aeppli;Nuit II;1959;Kohle auf Papier;Masse unbekannt;Werk zerstört;;;94770DS1;Foto: SIK-ISEA, Zürich;1959;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12795238;'333333','666666','999999','666633','663333','CCCCCC','999966','996666','CC9999','CCCC99'
94772;76;Eva Aeppli;Ohne Titel;1959;Kohle auf Papier;Masse unbekannt;Werk zerstört;;;94772DS1;Foto: SIK-ISEA, Zürich;1959;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12795247;'666666','333333','999999','CCCCCC','999966','666633','996666','663333','CCCC99','CC9999'
94773;77;Eva Aeppli;Jacqueline;1959;Kohle auf Papier;Masse unbekannt;Werk zerstört;;;94773DS1;Foto: SIK-ISEA, Zürich;1959;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12795261;'333333','666666','999999','CCCCCC','333300','666633','330000','663333','999966','996666'
94774;73;Eva Aeppli;Jasmins III;1959;Kohle auf Papier;102 x 58,5 cm;Werk zerstört;;;94774DS1;Foto: SIK-ISEA, Zürich;1959;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12903536;'333333','666666','999999','CCCCCC','666633','663333','996666','999966','FFFFFF','CC9999'
94775;50;Eva Aeppli;Jasmin VI;1958;Kohle auf Papier;69 x 77 cm;Werk zerstört;;;94775SC1;Foto: Hansjörg Stoecklin, Arisdorf;1958;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12795270;'333333','000000','666666','999999','FFFFFF','CCCCCC'
94776;81;Eva Aeppli;Ohne Titel;1964;Kohle auf Papier;Masse unbekannt;Standort unbekannt;;;94776SC1;Foto: Heidi Meister, Paris;1964;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12795278;'333333','000000','666666','999999','CCCCCC'
94777;82;Eva Aeppli;Ohne Titel;1964;Kohle auf Papier;Masse unbekannt;Standort unbekannt;;;94777SC1;Foto: Heidi Meister, Paris;1964;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12903537;'666666','333333','999999','CCCCCC','000000','FFFFFF'
94778;83;Eva Aeppli;Ohne Titel;1964;Kohle auf Papier;Masse unbekannt;Privatbesitz;;;94778SC1;Foto: Heidi Meister, Paris;1964;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12795323;'333333','000000','CCCCCC','666666','999999','FFFFFF'
94779;84;Eva Aeppli;Ohne Titel;1964;Kohle auf Papier;70 x 50 cm;Privatbesitz;;;94779SC1;Foto: Heidi Meister, Paris;1964;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12815427;'333333','000000','666666','999999','CCCCCC'
94780;85;Eva Aeppli;Trois Fleurs;1964;Kohle auf Papier;75 x 52 cm;Standort unbekannt;;;94780D1;Foto: SIK-ISEA, Zürich;1964;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12796942;'FFFFFF','000000','666666','333333','CCCCCC','999999'
94781;86;Eva Aeppli;L'Accusateur I;1964;Kohle auf Papier;75 x 49 cm;Standort unbekannt;;;94781D1;Foto: SIK-ISEA, Zürich;1964;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12796971;'FFFFFF','000000','666666','333333','CCCCCC','999999'
94782;87;Eva Aeppli;Le dernier Cri;1964;Kohle auf Papier;75 x 52 cm;Standort unbekannt;;;94782D1;Foto: SIK-ISEA, Zürich;1964;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12796996;'FFFFFF','000000','666666','333333','CCCCCC','999999'
94783;88;Eva Aeppli;La Trinité;1964;Kohle auf Papier;105 x 75 cm;Werk zerstört;;;94783D1;Foto: SIK-ISEA, Zürich;1964;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12796998;'FFFFFF','000000','666666','333333','CCCCCC','999999'
94784;89;Eva Aeppli;Hélas;1964;Kohle auf Papier;100 x 75 cm;Standort unbekannt;;;94784D1;Foto: SIK-ISEA, Zürich;1964;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12797003;'FFFFFF','000000','333333','666666','999999','CCCCCC'
94785;90;Eva Aeppli;Véronique;1964;Kohle auf Papier;105 x 75 cm;Werk zerstört;;;94785D1;Foto: SIK-ISEA, Zürich;1964;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12797021;'FFFFFF','000000','666666','333333','CCCCCC','999999'
